date,open,high,low,close,volume,Sentiment
9/17/2018,288.5,288.5,284.1,285.3,16089996,0
9/18/2018,285,286.9,272.4,273.8,33901000,1
9/19/2018,275.4,282.85,270.5,271.5,40759431,-1
9/21/2018,274.2,279.45,253.4,270.6,39308482,0
9/24/2018,272.7,273,262.6,264.35,24633374,0
9/25/2018,264,272.95,260.8,270.9,28948831,0
9/26/2018,274,274,262.75,263.85,23951904,0
9/27/2018,264.5,268.6,263.75,265.35,24829383,0
9/28/2018,266.4,273.5,262.5,265.5,33803139,-1
10/1/2018,265.5,275.2,264.1,273.85,17711738,0
10/3/2018,273.35,278.7,270.6,271.7,19714943,0
10/4/2018,267.95,272.7,265.7,271.35,17754204,0
10/5/2018,271,271,256,258.35,36628643,0
10/8/2018,259.75,268.5,258.35,265.75,21100804,0
10/9/2018,268,268.15,260,262.95,16010883,0
10/10/2018,261.6,280.45,261.2,278.65,31772330,1
10/11/2018,268,271.5,260.6,262.15,46291120,-1
10/12/2018,266,267.9,261.5,263.75,42967696,-1
10/15/2018,264.4,265.7,261.1,263.2,21965859,0
10/16/2018,264.6,270.85,263.35,270.3,33597068,0
10/17/2018,273.75,275,260,261.15,21631573,1
10/19/2018,259.7,264.2,258.1,261.1,28474307,0
10/22/2018,266,266,259.45,260.35,19933462,0
10/23/2018,258,259,255,255.65,20206307,0
10/24/2018,260.25,261.8,252.8,255.7,25636533,1
10/25/2018,254.5,255,248.4,249.55,33066232,0
10/26/2018,252,252.5,247.4,248.1,20543437,0
10/29/2018,250,269.25,248.4,267.9,37768359,1
10/30/2018,267.5,279.1,266,273.15,33401683,1
10/31/2018,275,282.75,268.6,281.4,28137370,1
11/1/2018,283,289,278.85,285.9,29144808,0
11/2/2018,287.9,292.8,283.2,285.35,27760214,0
11/5/2018,286.45,300,283.5,294.95,44619891,1
11/6/2018,296.1,298.3,283.9,286.45,40688243,1
11/7/2018,288.9,288.9,285.95,286.55,3312160,0
11/9/2018,287,287.5,282.45,283.25,19201007,0
11/12/2018,283.7,283.7,276.85,277.95,24044907,0
11/13/2018,276.3,279.7,273.35,278.05,25633628,0
11/14/2018,280.4,287.7,278,283.6,52674807,0
11/15/2018,283.85,287.05,281.15,285.4,18445463,0
11/16/2018,285.9,291.8,282.6,290.9,24805910,1
11/19/2018,293.5,293.5,286.05,288.15,13799970,0
11/20/2018,285.9,288.55,282.5,283.45,12900924,-1
11/21/2018,283.45,289.55,283.05,287.05,16167419,0
11/22/2018,285.95,287.05,281.6,282.7,12066797,0
11/26/2018,284.1,287.25,279.6,286.4,16846820,-1
11/27/2018,284.6,290.5,284.05,289.4,21242956,0
11/28/2018,289.4,292.45,283,284.55,19837609,1
11/29/2018,289.3,289.65,284.25,286.4,27919104,0
11/30/2018,288.8,290.9,283.2,284.65,17583510,1
12/3/2018,286.7,287.9,283.25,286.8,15772176,0
12/4/2018,287.95,287.95,281.9,282.55,11897307,1
12/5/2018,282.45,283.2,277.05,280.15,14893748,0
12/6/2018,278,279.25,275.1,275.65,11083451,0
12/7/2018,277,277.35,272.1,275.4,10165275,0
12/10/2018,271,276.4,270.15,274.2,11947887,1
12/11/2018,268.35,283.25,268.35,281.25,30927239,1
12/12/2018,283.75,285.85,282.2,285.25,21765939,0
12/13/2018,290,294,285.75,289,24097152,1
12/14/2018,288.5,290.8,287.05,289.2,12156361,1
12/17/2018,289.3,291.45,287.3,289.5,12728014,0
12/18/2018,287.85,294,287,292.75,13606582,0
12/19/2018,294.7,302,294.7,300.7,26124125,0
12/20/2018,298.35,301.65,293.15,294.05,19222232,0
12/21/2018,293.65,296.5,290.8,291.9,15777301,0
12/24/2018,293.5,295,290.15,293.05,12048877,0
12/26/2018,292.85,295,287.15,294.15,12684324,0
12/27/2018,296.7,297.6,291.5,292.15,15304564,0
12/28/2018,293.6,297.1,293.55,294.8,12876558,0
12/31/2018,297.2,298.25,295.5,295.9,9526067,1
